Country,Province,Lat,Long,Confirmed_2023,Confirmed_2021,Confirmed_2022
US,Michigan,,,178814,471,5902
US,Minnesota,46.47227431,-85.54471223,252135,355,100686
US,Mississippi,48.77217001,-94.90274472,1289449,9121,5412
US,Mississippi,44.41311883,-96.26688165,254051,956,3117
US,Nebraska,45.5197966,-104.5395536,171762,2348,74806
US,Nebraska,46.3816474,-109.1768522,1378690,2339,9523
US,Nebraska,40.5237198,-101.6978026,344160,3392,18941
US,Nebraska,40.17642064,-99.91247454,453127,13536,17395
US,Nebraska,40.51481965,-99.83020279,376771,10128,22242
US,Nevada,40.17609175,-101.0416477,665795,2488,61524
US,Nevada,40.50663314,-98.94877182,1234161,1084,78914
US,New Mexico,37.64268459,-114.8790388,1280087,389,24491
US,Oklahoma,,,542543,306,8050
US,Tennessee,43.6746384,-97.78715148,240551,1031,3491
US,Tennessee,44.54747703,-99.48572582,202506,21730,4705
US,Tennessee,45.06583079,-99.95498503,207290,669,9122
US,Vermont,31.82781912,-101.0500746,368594,1905,169849
US,West Virginia,46.2918004,-123.4250831,1989865,4906,4168
Australia,Tasmania,-34.9285,138.6007,138405,1297,14396
China,Beijing,31.8257,117.2264,455121,2221,36212
China,Fujian,30.0572,107.874,602112,783,14821
China,Hebei,19.1959,109.7453,373853,1206,16291
France,Saint Pierre and Miquelon,17.9,-62.8333,466759,675,6139
US,Arkansas,55.76261984,-133.0511621,263083,2000,8962
US,Arkansas,57.24124555,-135.3206587,385737,545,6125
US,Colorado,41.58965602,-120.7244817,282191,700,15672
US,Connecticut,37.75208676,-108.5211585,301714,1390,8249
US,Florida,38.14717457,-107.7675136,398160,5411,8187
US,Florida,39.21720112,-106.9310027,250561,30297,15558
US,Illinois,44.24186819,-114.2855494,408431,1900,50714
US,Kansas,38.30292938,-96.59563862,544133,469,203860
US,Kansas,37.55848695,-99.2856537,2551598,14511,5546
US,Nebraska,46.4060522,-113.4414186,22118,1199,5875
US,Nebraska,48.22773388,-112.2252703,220823,209,116103
US,Ohio,47.71701474,-98.90432337,1612067,2717,12515
US,Ohio,47.57700669,-100.3426391,322489,1534,1761
US,Oklahoma,36.2180194,-99.75324573,137848,199,26901
US,South Dakota,45.77074915,-100.0510181,699901,61105,15633
US,South Dakota,44.85834507,-97.72925109,357149,119,3291
